,Agora-KN2045,Ariadne-REMIND-8Gt_H2_Dom,Ariadne-ReMod-8Gt_H2_Dom,BDI-Klimapfade 2.0,Dena-Efficient Electrons,Dena-Efficient Molecules,Dena-KN100,Dena-More Electrons,Dena-More Molecules,F-ISE-BE,F-ISE-IN,F-ISE-RE,F-ISE-SUF,F-ISI-H2,F-ISI-PtG,F-ISI-RE,F-ISI-RG,F-ISI-ST,FENES-B-BioVeg,FENES-B-Konsum,FENES-B-OmniRed,FENES-B-RE,FENES-B-SUF,FENES-B-Verkehr,FENES-B-Wohnen,FENES-M-DE-FR,Kopernikus-4.0 Roadmap-Basis,Kopernikus-4.0 Roadmap-Suf,config.gridfreeze,config.highH2demand,config.highcarbon,config.lowH2cost,config.lowcarbon,config.main,lower_bound,upper_bound
2020,,4.08,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,0.0,4.08
2025,1.0,4.39,16.02,,,,,,,,,,,5.0,0.0,2.0,3.0,2.0,,,,,,,,41.0,,,17.398879478319998,26.12966913411,17.39996568232,17.400076681839998,17.399962934709997,17.399761941789997,0.0,41.0
2030,63.0,5.3,56.48,43.0,65.0,68.0,66.0,65.0,68.0,54.0,104.0,58.0,41.0,72.0,31.0,24.0,29.0,27.0,,,,,,,,110.0,91.1,53.3,17.468464561309997,39.06518766124,17.472151068,17.53760018069,161.40850812259998,17.53861118306,5.3,110.0
2035,137.0,51.98,175.13,,,,,,,,,,,232.0,79.0,72.0,89.0,80.0,,,,,,,,199.0,,,64.13822471791,402.22411380922995,23.08040234542,339.95978676277997,631.05407134794,290.77405451034997,51.98,232.0
2040,223.0,171.39,307.04,,,,,,,100.0,234.0,213.0,84.0,444.0,129.0,267.0,245.0,188.0,,,,,,,,366.0,406.4,309.2,69.78114006292999,423.28690744362,28.990952224729995,354.19673492569007,478.67231922601,321.07204662387,84.0,444.0
2045,265.0,285.61,411.35,237.0,402.0,454.0,458.0,450.0,505.0,118.0,315.0,331.0,117.0,694.0,134.0,458.0,400.0,363.0,,,,,,,,554.0,639.5,536.5,71.95059990288001,378.68411080988,36.02100634658,318.20046077967,474.74590506282,286.40794710368004,117.0,694.0
2050,,344.48,422.3,,,,,,,,,,,,,,,,570.0,494.0,571.0,585.0,480.0,554.0,584.0,562.0,648.5,526.3,77.49015528991,369.46037531512,40.40029333922,318.21740461539997,388.85518602381995,281.795017028,344.48,648.5
